subject,lab,model,nll
CSHL047,churchlandlab,combined_evidence,0.3959882913899552
CSHL047,churchlandlab,combined_history,0.396340748240209
CSHL047,churchlandlab,evidence_history,0.41602052123179434
CSHL047,churchlandlab,learning_evidence,0.4119934716467996
CSHL047,churchlandlab,learning_history,0.41261642692199324
CSHL047,churchlandlab,long_evidence,0.3953780674793372
CSHL047,churchlandlab,long_history,0.39566367361784915
CSHL047,churchlandlab,outcome_history,0.4164869062497272
CSHL052,churchlandlab,combined_evidence,0.3492970152564952
CSHL052,churchlandlab,combined_history,0.351978030932061
CSHL052,churchlandlab,evidence_history,0.3954476284795735
CSHL052,churchlandlab,learning_evidence,0.3886039511114623
CSHL052,churchlandlab,learning_history,0.39475348234386126
CSHL052,churchlandlab,long_evidence,0.34815553725499526
CSHL052,churchlandlab,long_history,0.3510368165812374
CSHL052,churchlandlab,outcome_history,0.40096814048242674
CSHL053,churchlandlab,combined_evidence,0.3038405923502416
CSHL053,churchlandlab,combined_history,0.30265156643569113
CSHL053,churchlandlab,evidence_history,0.3181989152290159
CSHL053,churchlandlab,learning_evidence,0.3150130942088547
CSHL053,churchlandlab,learning_history,0.31340247391773074
CSHL053,churchlandlab,long_evidence,0.3043441176253585
CSHL053,churchlandlab,long_history,0.3030608546387747
CSHL053,churchlandlab,outcome_history,0.3164635933713951
CSHL054,churchlandlab,combined_evidence,0.3479597009700642
CSHL054,churchlandlab,combined_history,0.34945183802596347
CSHL054,churchlandlab,evidence_history,0.4012345514671119
CSHL054,churchlandlab,learning_evidence,0.38904899209300714
CSHL054,churchlandlab,learning_history,0.3933969920702382
CSHL054,churchlandlab,long_evidence,0.34909052714887273
CSHL054,churchlandlab,long_history,0.3509367853096745
CSHL054,churchlandlab,outcome_history,0.4054289970455986
CSHL055,churchlandlab,combined_evidence,0.3881467139530806
CSHL055,churchlandlab,combined_history,0.39029984504424664
CSHL055,churchlandlab,evidence_history,0.426581220902418
CSHL055,churchlandlab,learning_evidence,0.41092597996468033
CSHL055,churchlandlab,learning_history,0.41594280510822607
CSHL055,churchlandlab,long_evidence,0.3866116375033724
CSHL055,churchlandlab,long_history,0.3888214833790603
CSHL055,churchlandlab,outcome_history,0.43147184374525266
CSHL_014,churchlandlab,combined_evidence,0.3549769836464449
CSHL_014,churchlandlab,combined_history,0.35572552754967146
CSHL_014,churchlandlab,evidence_history,0.3844441850919841
CSHL_014,churchlandlab,learning_evidence,0.3789962914097263
CSHL_014,churchlandlab,learning_history,0.38096723726419446
CSHL_014,churchlandlab,long_evidence,0.35623655563722045
CSHL_014,churchlandlab,long_history,0.357233799496526
CSHL_014,churchlandlab,outcome_history,0.38656112572927187
CSHL_015,churchlandlab,combined_evidence,0.5889530581416811
CSHL_015,churchlandlab,combined_history,0.5893485355980698
CSHL_015,churchlandlab,evidence_history,0.60037356378091
CSHL_015,churchlandlab,learning_evidence,0.5984107208134166
CSHL_015,churchlandlab,learning_history,0.5990787527906776
CSHL_015,churchlandlab,long_evidence,0.5848567440445374
CSHL_015,churchlandlab,long_history,0.5847350548379187
CSHL_015,churchlandlab,outcome_history,0.6013059570833169
CSH_ZAD_001,zadorlab,combined_evidence,0.31428118110557857
CSH_ZAD_001,zadorlab,combined_history,0.3132813035461155
CSH_ZAD_001,zadorlab,evidence_history,0.3401682453047341
CSH_ZAD_001,zadorlab,learning_evidence,0.3336680673900589
CSH_ZAD_001,zadorlab,learning_history,0.33214665255000836
CSH_ZAD_001,zadorlab,long_evidence,0.31439694768353355
CSH_ZAD_001,zadorlab,long_history,0.31331006039176146
CSH_ZAD_001,zadorlab,outcome_history,0.3388663002226326
CSH_ZAD_002,zadorlab,combined_evidence,0.38897266791641505
CSH_ZAD_002,zadorlab,combined_history,0.3895231136016357
CSH_ZAD_002,zadorlab,evidence_history,0.43991861263889004
CSH_ZAD_002,zadorlab,learning_evidence,0.4432034128031379
CSH_ZAD_002,zadorlab,learning_history,0.4457992333473185
CSH_ZAD_002,zadorlab,long_evidence,0.38955866785405807
CSH_ZAD_002,zadorlab,long_history,0.3902321081395468
CSH_ZAD_002,zadorlab,outcome_history,0.44226873217022994
CSH_ZAD_004,zadorlab,combined_evidence,0.296028771903743
CSH_ZAD_004,zadorlab,combined_history,0.2971331251882913
CSH_ZAD_004,zadorlab,evidence_history,0.31524806440221304
CSH_ZAD_004,zadorlab,learning_evidence,0.3046446352135238
CSH_ZAD_004,zadorlab,learning_history,0.30724624527348515
CSH_ZAD_004,zadorlab,long_evidence,0.2959660258854016
CSH_ZAD_004,zadorlab,long_history,0.2971561360501035
CSH_ZAD_004,zadorlab,outcome_history,0.3177776730068291
CSH_ZAD_005,zadorlab,combined_evidence,0.5486286041408334
CSH_ZAD_005,zadorlab,combined_history,0.5458248791983505
CSH_ZAD_005,zadorlab,evidence_history,0.5674116236225426
CSH_ZAD_005,zadorlab,learning_evidence,0.5589316791526735
CSH_ZAD_005,zadorlab,learning_history,0.5539441725660148
