subject,lab,model,nll
CSHL047,churchlandlab,combined_evidence,0.39486753631419175
CSHL047,churchlandlab,combined_history,0.3952129854356589
CSHL047,churchlandlab,evidence_history,0.4148030810032092
CSHL047,churchlandlab,learning_evidence,0.41083638108066123
CSHL047,churchlandlab,learning_history,0.4114383805990535
CSHL047,churchlandlab,long_evidence,0.3942179546225057
CSHL047,churchlandlab,long_history,0.39450136232379157
CSHL047,churchlandlab,outcome_history,0.4152561395070907
CSHL052,churchlandlab,combined_evidence,0.34746186291064385
CSHL052,churchlandlab,combined_history,0.3502861559146218
CSHL052,churchlandlab,evidence_history,0.39348609722938493
CSHL052,churchlandlab,learning_evidence,0.3867162206548237
CSHL052,churchlandlab,learning_history,0.39306894262455266
CSHL052,churchlandlab,long_evidence,0.3463771254864386
CSHL052,churchlandlab,long_history,0.3493691339897215
CSHL052,churchlandlab,outcome_history,0.3992404544885771
CSHL053,churchlandlab,combined_evidence,0.30577466819923343
CSHL053,churchlandlab,combined_history,0.30443604927974904
CSHL053,churchlandlab,evidence_history,0.3196463866607492
CSHL053,churchlandlab,learning_evidence,0.31666863195043615
CSHL053,churchlandlab,learning_history,0.31490283249805745
CSHL053,churchlandlab,long_evidence,0.30633224449872876
CSHL053,churchlandlab,long_history,0.3049146879762416
CSHL053,churchlandlab,outcome_history,0.31773069916477276
CSHL054,churchlandlab,combined_evidence,0.347127231617895
CSHL054,churchlandlab,combined_history,0.34880138962433394
CSHL054,churchlandlab,evidence_history,0.4015961763511054
CSHL054,churchlandlab,learning_evidence,0.3887659394009868
CSHL054,churchlandlab,learning_history,0.39337035616093535
CSHL054,churchlandlab,long_evidence,0.3481556419791903
CSHL054,churchlandlab,long_history,0.35016669162658726
CSHL054,churchlandlab,outcome_history,0.406049586915905
CSHL055,churchlandlab,combined_evidence,0.3876877035450164
CSHL055,churchlandlab,combined_history,0.3899912776345343
CSHL055,churchlandlab,evidence_history,0.42695570892366885
CSHL055,churchlandlab,learning_evidence,0.4113885076944104
CSHL055,churchlandlab,learning_history,0.4166682852248971
CSHL055,churchlandlab,long_evidence,0.3861216572849036
CSHL055,churchlandlab,long_history,0.3884777213439451
CSHL055,churchlandlab,outcome_history,0.43214496361163407
CSHL_014,churchlandlab,combined_evidence,0.35688058401952477
CSHL_014,churchlandlab,combined_history,0.35778965484428754
CSHL_014,churchlandlab,evidence_history,0.3873483340070656
CSHL_014,churchlandlab,learning_evidence,0.38247337820438204
CSHL_014,churchlandlab,learning_history,0.38463031122896707
CSHL_014,churchlandlab,long_evidence,0.35796790318966987
CSHL_014,churchlandlab,long_history,0.35914603860250643
CSHL_014,churchlandlab,outcome_history,0.38965356841597765
CSHL_015,churchlandlab,combined_evidence,0.590070295364069
CSHL_015,churchlandlab,combined_history,0.5908273815157012
CSHL_015,churchlandlab,evidence_history,0.6005392640678584
CSHL_015,churchlandlab,learning_evidence,0.5994880715158019
CSHL_015,churchlandlab,learning_history,0.6005059186630389
CSHL_015,churchlandlab,long_evidence,0.5859961776412892
CSHL_015,churchlandlab,long_history,0.586255023061241
