subject,model,seed,epoch,choice_nll,rt_squared_error_seconds
CSHL053,choice_only_full_control,42,2,0.3110031701069866,0.9366788066092446
CSHL053,choice_only_full_control,42,4,0.313226627108893,0.9415675469319239
CSHL053,choice_only_full_control,42,6,0.31336751956730513,0.9430760355231087
CSHL053,choice_only_full_control,123,2,0.3091255342103138,0.9291546625453394
CSHL053,choice_only_full_control,123,4,0.310274170475187,0.9271208567738882
CSHL053,choice_only_full_control,123,6,0.3202368654327554,0.9403809561594221
CSHL053,choice_only_no_control,42,2,0.31478865178254795,0.9220889786545218
CSHL053,choice_only_no_control,42,4,0.31391584093499897,0.9210895959899233
CSHL053,choice_only_no_control,42,6,0.3250561789291377,0.9280158823626651
CSHL053,choice_only_no_control,123,2,0.31053956020681706,0.9073172343141018
CSHL053,choice_only_no_control,123,4,0.3110751206748659,0.9152393170816232
CSHL053,choice_only_no_control,123,6,0.32449956744172126,0.9243997268544393
CSHL053,simple_history,-1,0,0.3367743229334823,1.875261484145871
CSH_ZAD_005,choice_only_full_control,42,2,0.5996241698029774,0.7442235266872637
CSH_ZAD_005,choice_only_full_control,42,4,0.5777587527013619,0.7506772274632756
CSH_ZAD_005,choice_only_full_control,42,6,0.5790136982418811,0.7510800276288376
CSH_ZAD_005,choice_only_full_control,123,2,0.6245059838589302,0.7450152698909976
CSH_ZAD_005,choice_only_full_control,123,4,0.5980263588566993,0.7395068075480489
CSH_ZAD_005,choice_only_full_control,123,6,0.5774727481020628,0.7414551715891545
CSH_ZAD_005,choice_only_no_control,42,2,0.6036238152226125,0.7489535973256971
CSH_ZAD_005,choice_only_no_control,42,4,0.5717960040474103,0.7504462182155001
CSH_ZAD_005,choice_only_no_control,42,6,0.5898782416014242,0.7498384077907219
CSH_ZAD_005,choice_only_no_control,123,2,0.6015446632135805,0.7435419361303122
CSH_ZAD_005,choice_only_no_control,123,4,0.5863440002657445,0.7418213787007044
CSH_ZAD_005,choice_only_no_control,123,6,0.5800227991223489,0.7407308741413849
CSH_ZAD_005,simple_history,-1,0,0.5791312095389662,1.7628610089349626
IBL-T4,choice_only_full_control,42,2,0.32838892079733784,23.893311202729976
IBL-T4,choice_only_full_control,42,4,0.3414363752286071,23.96665835181372
IBL-T4,choice_only_full_control,42,6,0.31624918142431735,23.962087734714597
IBL-T4,choice_only_full_control,123,2,0.3365871007901337,23.65542889845605
IBL-T4,choice_only_full_control,123,4,0.32803990959528334,23.770194024408294
IBL-T4,choice_only_full_control,123,6,0.3128459158469553,23.905814106382966
IBL-T4,choice_only_no_control,42,2,0.31767584823251355,23.902599385148164
IBL-T4,choice_only_no_control,42,4,0.35994085003263004,23.95223827773719
IBL-T4,choice_only_no_control,42,6,0.29570408292771017,23.922894196511272
IBL-T4,choice_only_no_control,123,2,0.3381927756682485,23.73105011168907
IBL-T4,choice_only_no_control,123,4,0.3381357727906738,23.82129210957467
IBL-T4,choice_only_no_control,123,6,0.29643217247693776,23.896669824511143
IBL-T4,simple_history,-1,0,0.36274764579749713,22.39262267884671
NYU-12,choice_only_full_control,42,2,0.46731585084215027,1.9478807350093446
NYU-12,choice_only_full_control,42,4,0.4586095075735059,1.9558191529110303
NYU-12,choice_only_full_control,42,6,0.4554099762160581,1.9672564800718289
NYU-12,choice_only_full_control,123,2,0.48062146863572797,1.8954114736437546
NYU-12,choice_only_full_control,123,4,0.4629885451150437,1.9141019649895514
NYU-12,choice_only_full_control,123,6,0.45459645006831617,1.949478318292431
NYU-12,choice_only_no_control,42,2,0.4532759483768099,1.9455074772884604
NYU-12,choice_only_no_control,42,4,0.4561043054630325,1.936429642020379
NYU-12,choice_only_no_control,42,6,0.4600513978782556,1.9641120521275048
NYU-12,choice_only_no_control,123,2,0.4564107473447515,1.8869131081233184
NYU-12,choice_only_no_control,123,4,0.4542897414298364,1.9024442136652842
NYU-12,choice_only_no_control,123,6,0.45162513332014476,1.9392433777776592
NYU-12,simple_history,-1,0,0.4502619457147999,2.8055486275830344
SH020,choice_only_full_control,42,2,0.31892566219394497,6.547643231022831
SH020,choice_only_full_control,42,4,0.3164127802861226,6.5732795178640275
SH020,choice_only_full_control,42,6,0.31081326930864894,6.581446608494008
SH020,choice_only_full_control,123,2,0.3166203592661906,6.433687586291337
SH020,choice_only_full_control,123,4,0.3111684180083099,6.489684807762579
SH020,choice_only_full_control,123,6,0.3195820676178386,6.564335041390095
SH020,choice_only_no_control,42,2,0.3087077370766788,6.569537579407754
SH020,choice_only_no_control,42,4,0.30939914736524254,6.54970874364716
SH020,choice_only_no_control,42,6,0.3143045580435122,6.571664666062521
SH020,choice_only_no_control,123,2,0.30453093525282804,6.4296080124976465
SH020,choice_only_no_control,123,4,0.3063570552572945,6.493219137553838
SH020,choice_only_no_control,123,6,0.3189980809545033,6.5499803754894375
SH020,simple_history,-1,0,0.3218592697623706,6.823105702876738
SWC_NM_057,choice_only_full_control,42,2,0.7324631227800719,
SWC_NM_057,choice_only_full_control,42,4,0.7059617678040654,
SWC_NM_057,choice_only_full_control,42,6,0.7032021333023721,
SWC_NM_057,choice_only_full_control,123,2,0.7715881980621976,
SWC_NM_057,choice_only_full_control,123,4,0.732676524598865,
SWC_NM_057,choice_only_full_control,123,6,0.6929571574176772,
SWC_NM_057,choice_only_no_control,42,2,0.7240845493120903,
SWC_NM_057,choice_only_no_control,42,4,0.7217400221265378,
SWC_NM_057,choice_only_no_control,42,6,0.7079171220998529,
SWC_NM_057,choice_only_no_control,123,2,0.7384351407350558,
SWC_NM_057,choice_only_no_control,123,4,0.7217758069437875,
SWC_NM_057,choice_only_no_control,123,6,0.6920109657359507,
SWC_NM_057,simple_history,-1,0,0.6806218487874859,
ZFM-04122,choice_only_full_control,42,2,0.4880832027760855,37.86201632169459
ZFM-04122,choice_only_full_control,42,4,0.49167388561473346,37.83702181925833
ZFM-04122,choice_only_full_control,42,6,0.47897835145686113,38.02238409789326
ZFM-04122,choice_only_full_control,123,2,0.5057806049074044,37.249094443434764
ZFM-04122,choice_only_full_control,123,4,0.4900589466166249,37.48235954037514
ZFM-04122,choice_only_full_control,123,6,0.4730335028963219,37.85640665849861
ZFM-04122,choice_only_no_control,42,2,0.49201742420756367,37.860797947668644
ZFM-04122,choice_only_no_control,42,4,0.5158121195813634,37.582341692739234
ZFM-04122,choice_only_no_control,42,6,0.4677489656285614,38.05831310915353
ZFM-04122,choice_only_no_control,123,2,0.5117787639105991,37.00919820716247
ZFM-04122,choice_only_no_control,123,4,0.5030729819088621,37.26520607687091
ZFM-04122,choice_only_no_control,123,6,0.4642046957799687,37.72285722333936
ZFM-04122,simple_history,-1,0,0.5261858644196933,30.656111725359576
ZM_1898,choice_only_full_control,42,2,0.4358759825140732,12.17576092434804
ZM_1898,choice_only_full_control,42,4,0.4136593262563928,12.119499915930293
